MOLECULE_NAME,SMILES,Dielectric_Constant
1-propanol,CCCO,20.1
ch3ch2ch2–oh,CCCO,20.1
n-propanol,CCCO,20.1
act,CC(O)=O,20
alcohols,CCO,20
alkane,CCCCCCCCCCCCc1ccccc1,20
dcip,O.[Na+].[O-]c1c(Cl)cc(cc1Cl)N=C2C=CC(=O)C=C2,20
pentanenitrile,CCCCC#N,20
propyl-alcohol,CCCO,20
retinal,CC(=C\C=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,20
sodium_acetate,[Na+].CC([O-])=O,20
tetraethylene_glycol,OCCOCCOCCOCCO,19.91
2-propanol,CC(C)O,19.9
propan-2-ol,CC(C)O,19.9
teg,OCCOCCOCCO,19.6295
ethyl_isothiocyanate,CCN=C=S,19.5
lactic_acid,CC(O)C(O)=O,19.4
isopropyl-alcohol,CC(C)O,19.15
ethyl_acetate-acetonitrile,CCOC(C)=O.CC#N,19.07
isooctane-ethyl_acetate,CCCCCC(C)C.CCOC(C)=O,19.07
2-propen-1-ol,OCC=C,19.011
iso-propanol,CC(C)O,18.8
2-butyl_alcohol,CCC(C)O,18.7
ethyl_methyl_ketone,CCC(C)=O,18.505
ethylmethylketone,CCC(C)=O,18.5
mek,CCC(C)=O,18.5
phenol_formaldehyde,Oc1ccccc1.C=O,18.5
propanal,CCC=O,18.5
methylethylketone,CCC(C)=O,18.4
isopropyl_alcohol,CC(C)O,18.325
2-butanone,CCC(C)=O,18.3
2-propyl_alcohol,CC(C)O,18.3
i-propanol,CC(C)O,18.3
isopropanol,CC(C)O,18.3
butanone,CCC(C)=O,18.25
cyclohexanone,O=C1CCCCC1,18.2
methyl_ethyl_ketone,CCC(C)=O,18.2
benzaldehyde,O=Cc1ccccc1,18.11
n-propylammonium_nitrate,CCC[NH3+].[O-][N+]([O-])=O,18.1
isobutyl_alcohol,CC(C)CO,18.015
1_4-dicyanobenzene,N#Cc1ccc(cc1)C#N,18
ggo,N[C@H]1CN(CCc2ccc3OCOc3c2)C(=O)C[C@@H]1c4cc(F)c(F)cc4F,18
propionaldehyde,CCC=O,18
propyl_alcohol,CCCO,18
butanol,CCCCO,17.8
methyl_propyl_ketone,CCCC(C)=O,17.75
isobutanol,CC(C)CO,17.7
valeronitrile,CCCCC#N,17.7
n-butyl_alcohol,CCCCO,17.655
n-butanol,CCCCO,17.6
pentane-1_2-diol,CCCC(O)CO,17.57
butan-1-ol,CCCCO,17.5
butyl_alcohol,CCCCO,17.5
cyclopentanol,OC1CCCC1,17.495
1-butanol,CCCCO,17.45
acetophenone,CC(=O)c1ccccc1,17.4
hexanenitrile,CCCCCC#N,17.26
2-methoxy_ethanol,COCCO,17.2
2me,CCOC,17.2
2-methylpropan-2-ol,CC(C)(C)O,17.1
diethylketone,CCC(=O)CC,17
2-methoxyethanol,COCCO,16.92
lmt,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,16.875
2-methyl-1-propanol,CC(C)CO,16.78
3-pentanone,CCC(=O)CC,16.78
diethyl_ketone,CCC(=O)CC,16.62
sec-butyl_alcohol,CCC(C)O,16.5
cis,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[S](O)(=O)=O)[C@H]1O)[C@H](O)CCCCCCCCCCCCCCC,16
ethylacetoacetate,CCCC(=O)CC([O-])=O,16
2-butanol,CCC(C)O,15.94
i-butanol,CC(C)CO,15.8795
anisaldehyde,COc1ccc(C=O)cc1,15.8
tetraglycol,OCCOCCOCCOCCO,15.7
hoch2ch2oh,OCCO,15.63
ccc,CCC,15.6
diethyl_sulfite,CCO[S](=O)OCC,15.6
2-methyl-1-butanol,CCC(C)CO,15.575
1_2-hexanediol,CCCCC(O)CO,15.5
hexane-1_2-diol,CCCCC(O)CO,15.5
mct,Cc1ccc(O)c(O)c1,15.5
propiophenone,CCC(=O)c1ccccc1,15.5
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,15.5
tween_20,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,15.5
tween_40,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,15.5
2-pentanone,CCCC(C)=O,15.45
tert-amyl_alcohol,CCC(C)(C)O,15.44
ethyl_lactate,CCOC(=O)C(C)O,15.4
diacetone_alcohol,CC(=O)CC(C)(C)O,15.38
isoamyl-alcohol,CC(C)CCO,15.3
3-methyl-1-butanol,CC(C)CCO,15.19
iso-butanol,CC(C)CO,15.1
1–pentanol,CCCCCO,15
benzonitrile-isooctane,CCCCCC(C)C.N#Cc1ccccc1,15
butyl_methacrylate,CCCCOC(=O)C(C)=C,15
cyclo-hexanol,OC1CCCCC1,15
cyclohexanol,OC1CCCCC1,15
diethylene_glycol_monomethyl_ether,COCCOCCO,15
lactone,Cc1oc2c(C)c3OC(=O)C=C(C)c3cc2c1,15
pentanol,CCCCCO,14.8
isoamyl_alcohol,CC(C)CCO,14.7
2-hexanone,CCCCC(C)=O,14.56
acrylonitrile_butadiene,C=CC=C.C=CC#N,14.5
cinnamylalcohol,OCC=Cc1ccccc1,14.5
dfb,OCc1cccc(F)c1F,14.3
9-cyano-phenanthrene-trans-anethole,COc1ccc(\C=C\C)cc1.N#Cc2cc3ccccc3c4ccccc24,14
aibn,CC(C)(N=NC(C)(C)C#N)C#N,14
nonanenitrile,CCCCCCCCC#N,14
pyruvate,CC(=O)C([O-])=O,14
saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,14
tween_60,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,14
n-pentanol,CCCCCO,13.92
1-pentanol,CCCCCO,13.9
amyl_alcohol,CCCCCO,13.9
pentan-1-ol,CCCCCO,13.9
salicylaldehyde,Oc1ccccc1C=O,13.9
diaminoethane,CC(N)N,13.8
octanenitrile,CCCCCCCC#N,13.75
hexan-1-ol,CCCCCCO,13.65
2-phenylethanol,OCCc1ccccc1,13.6
occn,NCCO,13.6
cyclopentanone,O=C1CCCC1,13.58
tween_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,13.5
ethylammonium_nitrate,CC[NH3+].[O-][N+]([O-])=O,13.4
triethylphosphate,CCO[P](=O)(OCC)OCC,13.4
cinnamaldehyde,O=CC=Cc1ccccc1,13.3
hexanol,CCCCCCO,13.28
hexane-ethanol,CCO.CCCCCC,13.195
n-hexanol,CCCCCCO,13.165
isopropyl_acetate,CC(C)OC(C)=O,13.15
4-methyl-2-pentanone,CC(C)CC(C)=O,13.11
methyl-iso-butyl_ketone,CC(C)CC(C)=O,13.11
methyl_isobutyl_ketone,CC(C)CC(C)=O,13.11
methyl_isobutylketone,CC(C)CC(C)=O,13.11
methylisobutyl_ketone,CC(C)CC(C)=O,13.11
methylisobutylketone,CC(C)CC(C)=O,13.11
mibk,CC(C)CC(C)=O,13.11
benzyl_alcohol,OCc1ccccc1,13.1
benzylalcohol,OCc1ccccc1,13.1
ch3cl,CCl,13.1
hexone,CC(C)CC(C)=O,13.1
keto_azoxybenzene,[O-][N+](=NC1C=CC=CC1=O)c2ccccc2,13.1
phenylmethanol,OCc1ccccc1,13.1
1-ethanol,CCO,13.075
1-hexanol,CCCCCCO,13
vanillyl_alcohol,COc1cc(CO)ccc1O,13
pyridine,c1ccncc1,12.91
ethylene-diamine,NCCN,12.9
ethylenediamine,NCCN,12.9
ethyl_benzoylacetate,CCOC(=O)CC(=O)c1ccccc1,12.8
dien,NCCNCCN,12.63
transcutol,CCOCCOCCO,12.6
heptanone,CCCCCC(C)=O,12.5
phosphotyrosine,N[C@@H](Cc1ccc(O[P](O)(O)=O)cc1)C(O)=O,12.5
triazole,[nH]1ccnn1,12.5
2-methyl-2-propanol,CC(C)(C)O,12.485
tba,CCCC[N+](CCCC)(CCCC)CCCC,12.47
peg_400,OCCO,12.4
tert-butanol,CC(C)(C)O,12.4
benzeneethanol,OCCc1ccccc1,12.31
cysteamine,NCCS,12.3
ethyl_propionate,CCOC(=O)CC,12.3
2-octanone,CCCCCCC(C)=O,12.1
heptan-1-ol,CCCCCCCO,12.1
durene,Cc1cc(C)c(C)cc1C,12.082
2-pentanol,CCCC(C)O,12.08
mellitene,Cc1c(C)c(C)c(C)c(C)c1C,12.072
glycolate,OCC([O-])=O,12.045
3-methyl-2-butanol,CC(C)C(C)O,12.04
m-cresol,Cc1cccc(O)c1,12
triton_x-100,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,12
benzenepropanol,OCCCc1ccccc1,11.97
4-methylpyridine,Cc1ccncc1,11.96
2-heptanone,CCCCCC(C)=O,11.95
mnt,CNc1ccccc1C(=O)O[C@H]2C[C@@H](O[C@@H]2CO[P](O)(=O)O[P](O)(O)=O)n3cnc4c(N)ncnc34,11.95
t-butyl_alcohol,CC(C)(C)O,11.7
3-pentanol,CCC(O)CC,11.56
heptanol,CCCCCCCO,11.525
dap,Nc1cccc(N)n1,11.5
phenol,Oc1ccccc1,11.4
polyethylene_glycol,OCCO,11.4
o-dianisidine,COc1cc(ccc1N)c2ccc(N)c(OC)c2,11.3
octan-1-ol,CCCCCCCCO,11.3
hexane-acetone,CCCCCC.CC(C)=O,11.295
tert-butyl_alcohol,CC(C)(C)O,11.2
