MOLECULE_NAME,SMILES,log_fu
103179606,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,-1.943095149
103181002,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,-1.974694135
103181781,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,-2.075720714
103183748,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,-1.161150909
103185057,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,-0.689306688
103186822,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=C(C=C2)F)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,-0.770574152
103186881,C1CN(CCC1NC(=O)CSC2=NC3=C(S2)C=C(C=C3)N)CC4=CC(=C(C=C4)Cl)Cl,-0.581864502
103188003,CCCN1C2=C(C(=O)NC1=O)NC=N2,-0.483068191
103188044,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,-0.112326448
103188158,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,-1.522878745
103188539,CC1=CC(=O)N(N1C)C2=CC=CC=C2,-0.093395628
103188808,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,-1.151810883
103188954,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,-0.08958906
103188976,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,-0.27205229
103189004,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],-0.359518563
103189045,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,-1.161150909
103189071,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,-0.838033384
103189214,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,-0.697236292
103189227,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,-0.208590084
103189248,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,-1.756961951
