MOLECULE_NAME,SMILES,logEpsilon_minus_1
c2h5oh,CCO,1.371990911
ch3ch2oh,CCO,1.371990911
curcumin,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,1.371067862
ethanol,CCO,1.371067862
ethyl_alcohol,CCO,1.371067862
etoh,CCO,1.371067862
ch3ch2–oh,CCO,1.367355921
butanenitrile,CCCC#N,1.367169489
n-propyl_cyanide,CCCC#N,1.365487985
2-nitrophenyl_octyl_ether,CCCCCCCCOc1ccccc1[N+]([O-])=O,1.361727836
2-nitrophenyl_octylether,CCCCCCCCOc1ccccc1[N+]([O-])=O,1.361727836
2-nitrophenyl_pentylether,CCCCCOc1ccccc1[N+]([O-])=O,1.361727836
ate,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2,1.361727836
epa,CC/C=C\C\C=C/C/C=C\C\C=C/C/C=C\CCCC(O)=O,1.361727836
pyridine_nitrogen,[NH2].c1ccncc1,1.361727836
tbph,[OH-].CCCC[P+](CCCC)(CCCC)CCCC,1.361727836
triethylene_glycol,OCCOCCOCCO,1.356025857
nitropropane,CCC[N+]([O-])=O,1.346352974
o-fluoropyridine,Fc1ccccn1,1.346352974
benzyl_cyanide,N#CCc1ccccc1,1.339451441
benzoyl_fluoride,FC(=O)c1ccccc1,1.336459734
2-furoylfluoride,FC(=O)c1occc1,1.334956116
ech,ClCC1CO1,1.334453751
butane-1_2-diol,CCC(O)CO,1.333850145
acan,CC(=O)CCC(C)=O,1.331427297
3-nitrotoluene,Cc1cccc(c1)[N+]([O-])=O,1.326335861
pyrite,[O-]CC1OC=CC=C1,1.312177356
2_3-butanediol,CC(O)C(C)O,1.311690301
[iso-leucine],CC[C@H](C)[C@H](N)C(O)=O,1.310268367
dmk,CC(C)([C@H](N)C(O)=O)C(O)=O,1.301247089
acetaldehyde,CC=O,1.301029996
acetic_anhydride,CC(=O)OC(C)=O,1.301029996
