MOLECULE_NAME,SMILES,logEpsilon
ccc,CCC,1.193124598
diethyl_sulfite,CCO[S](=O)OCC,1.193124598
2-methyl-1-butanol,CCC(C)CO,1.192428055
1_2-hexanediol,CCCCC(O)CO,1.190331698
hexane-1_2-diol,CCCCC(O)CO,1.190331698
mct,Cc1ccc(O)c(O)c1,1.190331698
propiophenone,CCC(=O)c1ccccc1,1.190331698
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,1.190331698
tween_20,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.190331698
tween_40,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.190331698
2-pentanone,CCCC(C)=O,1.188928484
tert-amyl_alcohol,CCC(C)(C)O,1.188647296
ethyl_lactate,CCOC(=O)C(C)O,1.187520721
diacetone_alcohol,CC(=O)CC(C)(C)O,1.186956335
isoamyl-alcohol,CC(C)CCO,1.184691431
3-methyl-1-butanol,CC(C)CCO,1.181557774
iso-butanol,CC(C)CO,1.178976947
1–pentanol,CCCCCO,1.176091259
benzonitrile-isooctane,CCCCCC(C)C.N#Cc1ccccc1,1.176091259
butyl_methacrylate,CCCCOC(=O)C(C)=C,1.176091259
cyclo-hexanol,OC1CCCCC1,1.176091259
cyclohexanol,OC1CCCCC1,1.176091259
diethylene_glycol_monomethyl_ether,COCCOCCO,1.176091259
lactone,Cc1oc2c(C)c3OC(=O)C=C(C)c3cc2c1,1.176091259
pentanol,CCCCCO,1.170261715
isoamyl_alcohol,CC(C)CCO,1.167317335
2-hexanone,CCCCC(C)=O,1.163161375
acrylonitrile_butadiene,C=CC=C.C=CC#N,1.161368002
cinnamylalcohol,OCC=Cc1ccccc1,1.161368002
dfb,OCc1cccc(F)c1F,1.155336037
9-cyano-phenanthrene-trans-anethole,COc1ccc(\C=C\C)cc1.N#Cc2cc3ccccc3c4ccccc24,1.146128036
aibn,CC(C)(N=NC(C)(C)C#N)C#N,1.146128036
nonanenitrile,CCCCCCCCC#N,1.146128036
pyruvate,CC(=O)C([O-])=O,1.146128036
saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,1.146128036
tween_60,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.146128036
n-pentanol,CCCCCO,1.143639235
1-pentanol,CCCCCO,1.1430148
amyl_alcohol,CCCCCO,1.1430148
pentan-1-ol,CCCCCO,1.1430148
salicylaldehyde,Oc1ccccc1C=O,1.1430148
diaminoethane,CC(N)N,1.139879086
octanenitrile,CCCCCCCC#N,1.138302698
hexan-1-ol,CCCCCCO,1.135132651
2-phenylethanol,OCCc1ccccc1,1.133538908
occn,NCCO,1.133538908
cyclopentanone,O=C1CCCC1,1.13289977
tween_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.130333768
ethylammonium_nitrate,CC[NH3+].[O-][N+]([O-])=O,1.127104798
triethylphosphate,CCO[P](=O)(OCC)OCC,1.127104798
cinnamaldehyde,O=CC=Cc1ccccc1,1.123851641
hexanol,CCCCCCO,1.123198075
hexane-ethanol,CCO.CCCCCC,1.120409395
n-hexanol,CCCCCCO,1.119420863
isopropyl_acetate,CC(C)OC(C)=O,1.118925753
4-methyl-2-pentanone,CC(C)CC(C)=O,1.117602692
methyl-iso-butyl_ketone,CC(C)CC(C)=O,1.117602692
methyl_isobutyl_ketone,CC(C)CC(C)=O,1.117602692
methyl_isobutylketone,CC(C)CC(C)=O,1.117602692
methylisobutyl_ketone,CC(C)CC(C)=O,1.117602692
methylisobutylketone,CC(C)CC(C)=O,1.117602692
mibk,CC(C)CC(C)=O,1.117602692
benzyl_alcohol,OCc1ccccc1,1.117271296
benzylalcohol,OCc1ccccc1,1.117271296
ch3cl,CCl,1.117271296
hexone,CC(C)CC(C)=O,1.117271296
keto_azoxybenzene,[O-][N+](=NC1C=CC=CC1=O)c2ccccc2,1.117271296
phenylmethanol,OCc1ccccc1,1.117271296
1-ethanol,CCO,1.116441698
1-hexanol,CCCCCCO,1.113943352
vanillyl_alcohol,COc1cc(CO)ccc1O,1.113943352
pyridine,c1ccncc1,1.110926242
ethylene-diamine,NCCN,1.11058971
ethylenediamine,NCCN,1.11058971
ethyl_benzoylacetate,CCOC(=O)CC(=O)c1ccccc1,1.10720997
dien,NCCNCCN,1.101403351
transcutol,CCOCCOCCO,1.100370545
